StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Year,Housing,Housing_8_TEXT,Transfer,Gender,Gender_5_TEXT,International,Accessibility,"Used Methods ","Walk to Bus Time ","Commute Time ","Days on Campus ",Bus Pass Impact,"Class Pass Fee Know ","Support Class Pass ","BART Pilot ",Clipper Card Value ,"Summer in Berkeley ","Fall Free Freq ","Fall Free Freq Conf ",Fall Full Freq,"Fall Full Freq Conf ","Fall Half Freq ","Fall Half Freq Conf ",Q69,Sum Free Freq,Sum Free Freq Conf,Sum Full Freq ,Sum Full Freq Conf ,Sum Half Freq,Sum Half Freq Conf,Sprng Free Freq,Sprng Free Freq Conf,Sprng Full Freq ,Sprng Full Freq Conf,Sprng Half Freq,Sprng Half Freq Conf
2024-03-20 20:22:09,2024-03-20 20:26:14,IP Address,136.152.214.154,100,244,True,2024-03-20 20:26:14,R_2rvCXflEImxkHzY,,,,,37.8657,-122.2571,anonymous,EN,Freshman (1st year),Campus-operated apartments / suites,,,,,,,,,,5,,,,,,,0,4,0,5,0,4,,,,,,,,0,5,0,5,0,5
2024-03-20 20:22:17,2024-03-20 20:26:24,IP Address,136.152.214.37,100,247,True,2024-03-20 20:26:25,R_2XdD2sLKr9sAfsZ,,,,,37.8657,-122.2571,anonymous,EN,Sophomore (2nd year),Other residence in Berkeley (e.g. house/apartment),,,,,,,,6,15 - 20,7,,,,,,,15,3,2,5,5,5,,,,,,,,25,5,3,5,3,5
2024-03-20 20:22:31,2024-03-20 20:26:45,IP Address,2.57.169.215,100,254,True,2024-03-20 20:26:46,R_7is68m907J7Uk0r,,,,,43.6227,-79.3892,anonymous,EN,Sophomore (2nd year),Other residence in Berkeley (e.g. house/apartment),,,,,,,,9,10 - 15,7,,,,,,,3,4,2,4,4,4,,,,,,,,3,5,1,4,4,5
2024-03-20 20:22:43,2024-03-20 20:27:18,IP Address,136.152.214.34,100,274,True,2024-03-20 20:27:18,R_2X6j2kowcdnYvHb,,,,,37.8657,-122.2571,anonymous,EN,Freshman (1st year),"Campus-operated residential halls (i.e. congregate living ""dorms"")",,,,,,,,2,10 - 15,7,,,,,,,2,4,1,4,3,2,,,,,,,,2,4,1,4,3,2
2024-03-20 20:22:12,2024-03-20 20:27:29,IP Address,136.152.214.45,100,316,True,2024-03-20 20:27:29,R_7YWFqIVZFRx2jqN,,,,,37.8657,-122.2571,anonymous,EN,Sophomore (2nd year),Other residence in Berkeley (e.g. house/apartment),,,,,,,,3,15 - 20,5,,,,,,,10,4,5,2,5,2,,,,,,,,10,4,0,5,0,5
2024-03-20 20:22:10,2024-03-20 20:27:46,IP Address,136.152.214.125,100,336,True,2024-03-20 20:27:47,R_206JGiRURdEFLNf,,,,,37.8657,-122.2571,anonymous,EN,Freshman (1st year),"Campus-operated residential halls (i.e. congregate living ""dorms"")",,,,,,,,5,10 - 15,6,,,,,,,10,3,2,4,5,4,,,,,,,,15,4,2,4,5,4
2024-03-20 20:22:14,2024-03-20 20:28:57,IP Address,104.28.123.69,100,403,True,2024-03-20 20:28:58,R_3dFCiSIKyOIyWGm,,,,,37.8075,-122.2644,anonymous,EN,Junior (3rd year),Other residence in Berkeley (e.g. house/apartment),,,,,,,,6,15 - 20,5,,,,,,,20,3,3,4,3,5,,,,,,,,5,5,1,4,3,3
2024-03-20 20:27:31,2024-03-20 20:29:56,IP Address,136.152.214.19,100,144,True,2024-03-20 20:29:56,R_6o74UVgXMErHkuO,,,,,37.8657,-122.2571,anonymous,EN,Sophomore (2nd year),Other residence in Berkeley (e.g. house/apartment),,,,,,,,4,15 - 20,5,,,,,,,4,3,,3,5,3,,,,,,,,3,3,,4,6,3
2024-03-20 20:27:25,2024-03-20 20:31:10,IP Address,104.28.124.180,100,224,True,2024-03-20 20:31:10,R_71gCS9tTu5v6JHu,,,,,37.374,-121.8595,anonymous,EN,Freshman (1st year),"Campus-operated residential halls (i.e. congregate living ""dorms"")",,,,,,,,3,5 - 10,7,,,,,,,1,4,1,5,1,5,,,,,,,,0,5,0,5,0,5
2024-03-21 09:40:02,2024-03-21 09:44:25,IP Address,136.152.214.35,100,263,True,2024-03-21 09:44:26,R_7sTP9VKfcYptM8F,,,,,37.8657,-122.2571,anonymous,EN,Junior (3rd year),Other residence in Berkeley (e.g. house/apartment),,,,,,,,10,10 - 15,3,,,,,,,6,5,0,3,6,4,,,,,,,,6,5,0,3,6,4
2024-03-22 15:00:42,2024-03-22 15:16:00,Survey Preview,,100,918,True,2024-03-22 15:16:01,R_3YjaDWACmedAKdP,,,,,37.8657,-122.2571,preview,EN,Freshman (1st year),University Village (campus-operated family housing),,,,,,,,16,5 - 10,1,,,,,,,12,3,12,,13,3,,,,,,,,13,2,12,,13,4
2024-03-19 15:28:41,2024-03-19 15:31:52,IP Address,23.93.100.65,46,191,False,2024-03-26 15:31:58,R_2rI06otFb1P1oFx,,,,,,,anonymous,EN,Junior (3rd year),Other residence in Berkeley (e.g. house/apartment),,,,,,,,7,20 - 30,5,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01 14:19:55,2024-04-01 14:24:18,IP Address,136.152.214.80,100,263,True,2024-04-01 14:24:19,R_2OYSBz5cYf9aKQE,,,,,37.8657,-122.2571,anonymous,EN,Sophomore (2nd year),Other residence in Berkeley (e.g. house/apartment),,,,,,,,7,15 - 20,5,,,,,,,12,3,2,4,6,4,,2,5,1,4,2,4,10,4,3,4,5,4
2024-04-10 19:31:04,2024-04-10 19:31:50,Survey Preview,,100,46,True,2024-04-10 19:31:51,R_7gNmblxQwWpiGaS,,,,,37.8657,-122.2571,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-10 19:34:00,2024-04-10 19:34:40,Survey Preview,,100,40,True,2024-04-10 19:34:42,R_7ON8MUPgaaDfL6p,,,,,37.8657,-122.2571,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-10 19:35:34,2024-04-10 19:36:10,Survey Preview,,100,35,True,2024-04-10 19:36:11,R_7t6eDTtPRYSe7FX,,,,,37.8657,-122.2571,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-10 19:40:20,2024-04-10 19:41:44,Survey Preview,,100,84,True,2024-04-10 19:41:45,R_7RjX1c9EEaPv66q,,,,,37.8657,-122.2571,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-10 19:47:26,2024-04-10 19:48:00,Survey Preview,,100,34,True,2024-04-10 19:48:02,R_77y4cRrBVmWxGGh,,,,,37.8657,-122.2571,preview,EN,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
2024-04-10 19:54:54,2024-04-10 20:39:22,IP Address,136.152.209.110,100,2667,True,2024-04-10 20:39:22,R_5XjR47vqlGb19AP,,,,,37.8657,-122.2571,anonymous,EN,Senior (4+ year),Other residence outside of Berkeley (e.g. house/apartment),,No,Male,,No,I live within a 5 minute walk of a stop,Walking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-10 20:39:31,2024-04-10 20:42:09,IP Address,136.152.209.110,100,158,True,2024-04-10 20:42:10,R_5OktOe7qUCQ0KFd,,,,,37.8657,-122.2571,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-12 10:43:34,2024-04-12 10:49:48,IP Address,136.152.154.20,100,374,True,2024-04-12 10:49:49,R_2UXXerIzQWeLfTL,,,,,37.8487,-122.2209,anonymous,EN,Senior (4+ year),Other residence outside of Berkeley (e.g. house/apartment),,No,Male,,No,I live within a 10 minute walk of a stop,Bike,5,30 +,5,No,No,No,No,"15 - 30 ",Yes,0,5,0,4,1,3,2,,,,,,,0,,0,2,1,4
2024-04-10 20:42:31,2024-04-10 20:43:23,IP Address,136.152.209.110,61,51,False,2024-04-17 20:43:24,R_5SIDL4MgWtJX5f8,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
