StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q124,Q124_7_TEXT,Year,Transfer,Gender,Gender_5_TEXT,International,Housing,Housing_8_TEXT,Used Methods ,Accessibility,Walk to Bus Time ,Commute Time ,Days on Campus ,Bus Pass Impact,Class Pass Fee Know ,Support Class Pass ,Clipper Card Value ,free_fall_freq,free_fall_conf,normal_fall_freq,normal_fall_conf,half_fall_freq,half_fall_conf,extra_fall_freq,extra_fall_conf,double_fall_freq,double_fall_conf,free_spring_freq,free_spring_conf,normal_spring_freq,normal_spring_conf,half_spring_freq,half_spring_conf,extra_spring_freq,extra_spring_conf,double_spring_freq,double_spring_conf,Q118,free_sum_freq,free_sum_conf,normal_sum_freq,normal_sum_conf,half_sum_freq,half_sum_conf,extra_sum_freq,extra_sum_conf,double_sum_freq,double_sum_conf,Q132,Q136,Q122,Q130,Q130_6_TEXT,Q153,Q153_4_TEXT,Q154,Q154_2_TEXT,Q109,Q110,Q156,Q156_6_TEXT,Q112,Q112_4_TEXT,Q113,Q113_2_TEXT,avg_demand_free,n_observations_free,avg_demand_half,n_observations_half,avg_demand_normal,n_observations_normal,avg_demand_extra,n_observations_extra,avg_demand_double,n_observations_double
10/24/2024 14:05,10/24/2024 15:13,IP Address,104.28.124.69,100,4055,TRUE,10/24/2024 15:13,R_5LAKRULAu7Mkw0h,,,,,37.7833,-122.1864,anonymous,EN,From a friend,,Sophomore (2nd year),No,Female,,No,Sorority or fraternity,,"AC Transit Bus,Walking",I lived within a 5 minute walk of a stop,6,15 - 20,5,Yes,No,Yes,45 - 60 ,1,3,0,5,1,4,0,5,0,5,1,4,1,4,0,4,0,4,0,5,No,,,,,,,,,,,Yes,2,Yes,Bart,,"Commuting to school/work,Travel",,"San Francisco,East Bay (e.g. Berkeley, Oakland)",,0 - 50,4,,,,,,,1.0,2,0.5,2,0.5,2,0.0,2,0.0,2
10/24/2024 13:31,10/24/2024 15:26,IP Address,174.194.141.102,100,6902,TRUE,10/24/2024 15:26,R_1V55qtypa5sT68x,,,,,34.0544,-118.244,anonymous,EN,From a friend,,Freshman (1st year),No,Female,,No,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,"AC Transit Bus,Walking",I lived within a 3 minute walk of a stop,10,20 - 30,5,Yes,No,Yes,15 - 30 ,4,4,0,5,2,3,1,5,0,5,0,5,0,5,0,5,0,5,0,5,No,,,,,,,,,,,No,2,No,,,,,,,0 - 50,5,"Bart,CalTrain,San Fransisco Bay Ferry,Muni",,"Travel,Accessing public services (e.g. airport)",,"San Francisco,North Bay (e.g. Marin County, Sausalito),East Bay (e.g. Berkeley, Oakland)",,2.0,2,1.0,2,0.0,2,0.5,2,0.0,2
10/24/2024 15:37,10/24/2024 15:41,IP Address,136.152.214.45,100,225,TRUE,10/24/2024 15:41,R_5my3F6Zo3zJXBs4,,,,,37.8657,-122.2571,anonymous,EN,From a friend,,Freshman (1st year),No,Female,,No,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,Walking,I lived within a 3 minute walk of a stop,2,10-May,5,Yes,No,Yes,60 - 75 ,1,5,0,3,1,4,1,4,0,5,0,5,0,5,0,5,0,5,0,4,No,,,,,,,,,,,No,2,No,,,,,,,100 - 150,5,"Bart,CalTrain,San Fransisco Bay Ferry",,Accessing public services (e.g. airport),,"San Francisco,North Bay (e.g. Marin County, Sausalito)",,0.5,2,0.5,2,0.0,2,0.5,2,0.0,2
10/24/2024 15:38,10/24/2024 15:44,IP Address,104.28.91.122,100,334,TRUE,10/24/2024 15:44,R_6I3R79H7fntF1ad,,,,,32.7797,-96.8022,anonymous,EN,From a friend,,Junior (3rd year),No,Female,,Yes,Other residence in Berkeley (e.g. house/apartment),,"AC Transit Bus,Walking,Campus Shuttle,BART",I lived within a 5 minute walk of a stop,10,10-May,5,Yes,Yes,Yes,100 - 125 ,29,4,0,5,4,3,0,5,0,5,5,4,2,3,4,3,0,5,0,5,Yes,18.0,5,3.0,4,4.0,4,3.0,3,0.0,4,Yes,2,No,,,,,,,50 - 100,4,"Bart,CalTrain,San Fransisco Bay Ferry,Muni",,"Commuting to school/work,Accessing public services (e.g. airport)",,"San Francisco,North Bay (e.g. Marin County, Sausalito),East Bay (e.g. Berkeley, Oakland)",,17.333333333333332,3,4.0,3,1.6666666666666667,3,1.0,3,0.0,3
10/24/2024 18:00,10/24/2024 18:05,IP Address,108.203.164.58,100,344,TRUE,10/24/2024 18:05,R_5aglxMuJ0dW5gB8,,,,,37.7353,-121.4403,anonymous,EN,Other (please specify):,Slack,Senior (4+ year),No,Female,,No,Other residence in Berkeley (e.g. house/apartment),,"AC Transit Bus,Walking",I lived within a 5 minute walk of a stop,10,20 - 30,6,Yes,Yes,Yes,75 - 100 ,3,4,5,2,10,2,3,2,2,2,18,3,5,2,10,2,3,2,2,2,No,,,,,,,,,,,No,2,No,,,,,,,100 - 150,3,"Bart,San Fransisco Bay Ferry,Muni",,"Travel,Accessing public services (e.g. airport)",,"San Francisco,East Bay (e.g. Berkeley, Oakland)",,10.5,2,10.0,2,5.0,2,3.0,2,2.0,2
10/24/2024 19:09,10/24/2024 19:28,IP Address,73.162.6.123,100,1154,TRUE,10/24/2024 19:28,R_69nvAQll5IXsbfs,,,,,37.8657,-122.2571,anonymous,EN,Other (please specify):,I'm in BER,Sophomore (2nd year),No,Female,,No,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,"AC Transit Bus,Walking,Campus Shuttle,BART",I lived within a 3 minute walk of a stop,5,15-Oct,6,Yes,No,No,15 - 30 ,10,4,5,4,5,3,4,4,0,5,10,4,2,3,7,4,2,4,0,5,Yes,5.0,4,3.0,4,3.0,4,2.0,4,0.0,5,No,2,No,,,,,,,0 - 50,3,"Bart,CalTrain,San Fransisco Bay Ferry,Sam Tran,Muni",,"Travel,Accessing public services (e.g. airport)",,"San Francisco,South Bay & Peninsula (e.g. San Jose, Palo Alto),North Bay (e.g. Marin County, Sausalito),East Bay (e.g. Berkeley, Oakland)",,8.333333333333334,3,5.0,3,3.3333333333333335,3,2.6666666666666665,3,0.0,3
10/24/2024 19:51,10/24/2024 19:54,IP Address,136.24.201.210,100,167,TRUE,10/24/2024 19:54,R_1YamzCUxGsKWH3R,,,,,37.8657,-122.2571,anonymous,EN,From a friend,,Freshman (1st year),No,Male,,No,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,Walking,I lived within a 3 minute walk of a stop,3,0 - 5,7,Yes,No,Yes,15 - 30 ,2,5,3,5,5,5,4,5,4,5,6,5,8,5,7,5,6,5,10,5,No,,,,,,,,,,,No,2,No,,,,,,,100 - 150,5,Bart,,Commuting to school/work,,"San Francisco,East Bay (e.g. Berkeley, Oakland)",,4.0,2,6.0,2,5.5,2,5.0,2,7.0,2
10/24/2024 13:37,10/26/2024 16:25,IP Address,136.152.214.198,100,182864,TRUE,10/26/2024 16:25,R_37KiXTGx2h8cBdT,,,,,37.8657,-122.2571,anonymous,EN,From a friend,,Freshman (1st year),No,Male,,No,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,"AC Transit Bus,Car,Walking,Campus Shuttle,BART",I lived within a 3 minute walk of a stop,3,10-May,6,Yes,No,No,0 - 15,1,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,Yes,2.0,5,0.0,5,0.0,5,0.0,5,0.0,5,No,2,No,,,,,,,0 - 50,3,"Bart,CalTrain,San Fransisco Bay Ferry,Sam Tran,Muni",,"Travel,Accessing public services (e.g. airport)",,"San Francisco,East Bay (e.g. Berkeley, Oakland)",,1.0,3,0.0,3,0.0,3,0.0,3,0.0,3
10/27/2024 2:26,10/27/2024 2:32,IP Address,135.180.41.229,100,339,TRUE,10/27/2024 2:32,R_6VaJq886BoZzYYx,,,,,37.8637,-122.276,anonymous,EN,From a friend,,Sophomore (2nd year),No,Female,,No,Other residence in Berkeley (e.g. house/apartment),,Walking,I lived within a 5 minute walk of a stop,6,15 - 20,4,Yes,Yes,Yes,60 - 75 ,0,3,0,3,0,3,0,3,0,3,1,3,0,4,1,3,0,4,0,5,Yes,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,No,2,No,,,,,,,0 - 50,5,Bart,,Travel,,"San Francisco,South Bay & Peninsula (e.g. San Jose, Palo Alto)",,0.3333333333333333,3,0.3333333333333333,3,0.0,3,0.0,3,0.0,3
10/28/2024 11:03,10/28/2024 11:05,IP Address,104.28.85.95,100,173,TRUE,10/28/2024 11:05,R_55BkCvqkdyV19DK,,,,,36.102,-115.1447,qr,EN,From a friend,,Freshman (1st year),No,Female,,No,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,"AC Transit Bus,Walking,Campus Shuttle",I lived within a 3 minute walk of a stop,5,15-Oct,4,Yes,Yes,Yes,15 - 30 ,10,4,4,4,6,4,2,4,0,5,10,4,5,4,7,4,3,4,0,5,No,,,,,,,,,,,Yes,2,No,,,,,,,0 - 50,5,Bart,,"Travel,Accessing public services (e.g. airport)",,San Francisco,,10.0,2,6.5,2,4.5,2,2.5,2,0.0,2
10/28/2024 11:22,10/28/2024 11:25,IP Address,136.152.214.249,100,222,TRUE,10/28/2024 11:25,R_1Pcdjecm2fI1KqR,,,,,37.8657,-122.2571,anonymous,EN,Other (please specify):,Slack,Sophomore (2nd year),No,Female,,No,Other residence in Berkeley (e.g. house/apartment),,"AC Transit Bus,Walking",I lived within a 10 minute walk of a stop,5,15 - 20,5,Yes,No,Yes,30 - 45 ,1,4,0,5,0,5,0,5,0,5,2,4,0,5,0,5,0,5,0,5,No,,,,,,,,,,,No,2,No,,,,,,,0 - 50,5,Bart,,Travel,,San Francisco,,1.5,2,0.0,2,0.0,2,0.0,2,0.0,2
10/28/2024 11:27,10/28/2024 11:41,IP Address,184.23.22.107,100,812,TRUE,10/28/2024 11:41,R_3WVILoGN89o0GPw,,,,,37.8637,-122.276,anonymous,EN,From a friend,,Freshman (1st year),No,Male,,No,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,"Bike,AC Transit Bus,Walking,Campus Shuttle,BART",I lived within a 3 minute walk of a stop,5,15-Oct,7,Yes,No,Yes,15 - 30 ,1,2,0,3,2,3,0,4,0,5,1,2,0,3,2,3,0,4,0,5,No,,,,,,,,,,,No,2,No,,,,,,,0 - 50,3,"Bart,CalTrain",,"Travel,Other, Please specify",going home to south bay,"San Francisco,South Bay & Peninsula (e.g. San Jose, Palo Alto)",,1.0,2,2.0,2,0.0,2,0.0,2,0.0,2
10/28/2024 11:45,10/28/2024 11:49,IP Address,107.127.14.8,100,228,TRUE,10/28/2024 11:49,R_1dAsvVrOjsTJJIb,,,,,37.4651,-122.143,anonymous,EN,Other (please specify):,student org slack,Junior (3rd year),Yes,Nonbinary,,No,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,Walking,I lived within a 3 minute walk of a stop,5,15 - 20,5,Yes,Yes,Yes,30 - 45 ,30,4,2,4,3,4,2,3,0,5,30,5,3,3,5,4,2,4,0,5,No,,,,,,,,,,,Yes,2,No,,,,,,,0 - 50,5,"Bart,CalTrain,San Fransisco Bay Ferry",,"Travel,Accessing public services (e.g. airport)",,"San Francisco,South Bay & Peninsula (e.g. San Jose, Palo Alto),East Bay (e.g. Berkeley, Oakland)",,30.0,2,4.0,2,2.5,2,2.0,2,0.0,2
10/28/2024 12:13,10/28/2024 12:17,IP Address,174.249.149.123,100,253,TRUE,10/28/2024 12:17,R_7hoNaEDjbFkZA2d,,,,,37.7585,-122.1856,qr,EN,Tabling,,Junior (3rd year),No,Male,,No,Other residence in Berkeley (e.g. house/apartment),,Walking,I lived within a 3 minute walk of a stop,5,15-Oct,5,Yes,Yes,Yes,15 - 30 ,0,1,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,Yes,0.0,5,0.0,5,0.0,5,0.0,5,0.0,5,No,2,No,,,,,,,0 - 50,5,Bart,,Travel,,"South Bay & Peninsula (e.g. San Jose, Palo Alto)",,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3
10/28/2024 12:16,10/28/2024 12:19,IP Address,136.152.214.44,100,177,TRUE,10/28/2024 12:19,R_6dAlx4ZxRCdCfrH,,,,,37.8657,-122.2571,qr,EN,Tabling,,Freshman (1st year),No,Female,,Yes,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,AC Transit Bus,I lived within a 5 minute walk of a stop,7,15-Oct,7,Yes,No,Yes,0 - 15,8,4,3,2,4,4,2,3,1,2,6,2,3,3,2,2,2,2,0,3,No,,,,,,,,,,,No,2,No,,,,,,,0 - 50,5,"Bart,CalTrain,San Fransisco Bay Ferry,Muni",,"Commuting to school/work,Travel,Accessing public services (e.g. airport)",,"San Francisco,South Bay & Peninsula (e.g. San Jose, Palo Alto),North Bay (e.g. Marin County, Sausalito),East Bay (e.g. Berkeley, Oakland)",,7.0,2,3.0,2,3.0,2,2.0,2,0.5,2
10/28/2024 12:15,10/28/2024 12:20,IP Address,135.180.163.113,100,298,TRUE,10/28/2024 12:20,R_3pax0tCVENBe89G,,,,,37.8637,-122.276,anonymous,EN,From a friend,,Sophomore (2nd year),No,Female,,No,Other residence in Berkeley (e.g. house/apartment),,"AC Transit Bus,Walking",I lived within a 3 minute walk of a stop,10,15 - 20,4,Yes,No,Yes,60 - 75 ,10,4,4,5,6,5,4,5,4,5,10,3,4,5,6,5,4,5,4,5,No,,,,,,,,,,,No,2,No,,,,,,,0 - 50,5,"Bart,CalTrain,San Fransisco Bay Ferry",,"Commuting to school/work,Travel",,"San Francisco,South Bay & Peninsula (e.g. San Jose, Palo Alto),East Bay (e.g. Berkeley, Oakland)",,10.0,2,6.0,2,4.0,2,4.0,2,4.0,2
10/28/2024 12:33,10/28/2024 12:39,IP Address,104.28.124.69,100,350,TRUE,10/28/2024 12:39,R_5rxCV1WWCItP9tL,,,,,37.7833,-122.1864,qr,EN,"Tabling,Other (please specify):",Anishka ,Freshman (1st year),No,Male,,No,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,"Bike,AC Transit Bus,Walking",I lived within a 3 minute walk of a stop,10,30 +,5,Yes,No,Yes,45 - 60 ,0,5,5,4,8,4,5,4,0,5,25,5,20,4,25,5,10,4,0,5,No,,,,,,,,,,,No,2,No,,,,,,,0 - 50,5,Bart,,Travel,,"San Francisco,East Bay (e.g. Berkeley, Oakland)",,12.5,2,16.5,2,12.5,2,7.5,2,0.0,2
10/28/2024 12:50,10/28/2024 12:53,IP Address,136.152.214.5,100,228,TRUE,10/28/2024 12:53,R_109RRAfs2H7io0N,,,,,37.8657,-122.2571,qr,EN,Tabling,,Junior (3rd year),No,Male,,No,Other residence in Berkeley (e.g. house/apartment),,"Car,Walking",I lived within a 5 minute walk of a stop,5,10-May,7,Yes,No,No,0 - 15,0,4,0,4,0,4,0,4,0,5,0,4,0,4,0,4,0,4,0,5,No,,,,,,,,,,,No,2,Yes,Bart,,Travel,,"San Francisco,East Bay (e.g. Berkeley, Oakland),Other (please specify):",San Mateo ,0 - 50,4,,,,,,,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
10/28/2024 13:05,10/28/2024 13:08,IP Address,104.28.124.182,100,178,TRUE,10/28/2024 13:08,R_13l2kzOvntjmIpI,,,,,37.3209,-121.9126,qr,EN,Tabling,,Freshman (1st year),No,Female,,No,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,"AC Transit Bus,Walking,BART",I lived within a 3 minute walk of a stop,2,10-May,6,Yes,No,Yes,0 - 15,0,5,0,3,0,1,0,5,0,3,0,3,0,3,0,3,0,3,0,3,No,,,,,,,,,,,No,2,No,,,,,,,0 - 50,5,Bart,,"Commuting to school/work,Accessing public services (e.g. airport)",,San Francisco,,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
10/28/2024 13:04,10/28/2024 13:09,IP Address,172.59.128.240,100,293,TRUE,10/28/2024 13:09,R_10UoXPuhraketHH,,,,,37.6736,-122.0944,qr,EN,Tabling,,Sophomore (2nd year),No,Female,,No,Other residence in Berkeley (e.g. house/apartment),,"AC Transit Bus,Walking,Campus Shuttle,BART",I lived within a 3 minute walk of a stop,5,10-May,6,Yes,No,Yes,15 - 30 ,4,4,4,4,4,4,0,5,0,5,2,5,2,4,4,5,0,5,0,5,Yes,1.0,5,2.0,5,3.0,5,0.0,5,1.0,5,No,2,Yes,"Bart,Muni",,"Commuting to school/work,Travel,Accessing public services (e.g. airport)",,"San Francisco,South Bay & Peninsula (e.g. San Jose, Palo Alto),East Bay (e.g. Berkeley, Oakland)",,50 - 100,5,,,,,,,2.3333333333333335,3,3.6666666666666665,3,2.6666666666666665,3,0.0,3,0.3333333333333333,3
10/28/2024 13:09,10/28/2024 13:11,IP Address,172.59.131.216,100,124,TRUE,10/28/2024 13:11,R_1onvMr5BQhmRPb3,,,,,37.6736,-122.0944,qr,EN,Tabling,,Sophomore (2nd year),No,Female,,No,Other residence in Berkeley (e.g. house/apartment),,Walking,I lived within a 3 minute walk of a stop,3,0 - 5,2,No,Yes,Yes,15 - 30 ,5,2,6,1,9,3,5,3,4,3,5,3,9,4,10,2,7,2,5,3,No,,,,,,,,,,,Yes,2,Yes,CalTrain,,"Travel,Accessing public services (e.g. airport)",,"San Francisco,East Bay (e.g. Berkeley, Oakland)",,0 - 50,3,,,,,,,5.0,2,9.5,2,7.5,2,6.0,2,4.5,2
10/28/2024 13:05,10/28/2024 13:11,IP Address,172.59.131.42,100,411,TRUE,10/28/2024 13:11,R_6fILQ7OLUsVbF05,,,,,37.6736,-122.0944,qr,EN,Tabling,,Sophomore (2nd year),No,Male,,No,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,"AC Transit Bus,Walking,BART",I lived within a 3 minute walk of a stop,1,10-May,1,Yes,No,No,0 - 15,1,1,0,2,1,2,4,1,1,2,2,2,3,3,2,2,2,1,5,1,No,,,,,,,,,,,No,2,No,,,,,,,0 - 50,1,Bart,,Commuting to school/work,,San Francisco,,1.5,2,1.5,2,1.5,2,3.0,2,3.0,2
